구별,소계,최근 증가율,인구수,한국인,외국인,고령자,외국인 비율,고령자 비율
강남구,5221,34.28461980463513,549898,544804,5094,72602,0.926353614670357,13.2028121578911
강동구,1879,45.34326769558275,457042,452646,4396,66401,0.9618372053334268,14.528424083563435
강북구,1265,45.37549407114624,316750,312985,3765,61660,1.1886345698500393,19.466456195737962
강서구,1617,43.7847866419295,595703,589302,6401,85992,1.0745287500650493,14.435381389719373
관악구,3985,49.78670012547051,516662,499374,17288,76664,3.3460947389202222,14.838327571990973
광진구,1581,52.8146742567995,365990,350417,15573,48989,4.255034290554387,13.385338397223967
구로구,3227,41.89649829563062,438308,405837,32471,67432,7.408260857661736,15.384615384615385
금천구,1634,52.93757649938801,251370,232583,18787,38508,7.473843338504993,15.319250507220433
노원구,1906,29.590766002098633,535495,531037,4458,82682,0.8325007703153158,15.440293560163962
도봉구,858,39.976689976689975,333495,331238,2257,60023,0.6767717656936386,17.99817088711975
동대문구,2003,28.257613579630554,362793,346156,16637,60367,4.585810641329904,16.63951619794208
동작구,1780,44.21348314606742,407802,395014,12788,63378,3.1358355280258556,15.541365662748099
마포구,1935,47.855297157622736,386086,374570,11516,53283,2.982755137456422,13.800811218225991
서대문구,2121,41.77274870344178,325875,312642,13233,53038,4.060759493670886,16.275565784426544
서초구,2835,35.09700176366843,434801,430568,4233,58332,0.9735488188849611,13.415792511976743
성동구,2679,53.30347144456887,307193,299042,8151,44728,2.6533807736504413,14.560227609353078
성북구,3003,43.82284382284382,454532,442494,12038,72172,2.6484383937764555,15.87830999797594
송파구,1586,38.587641866330394,680883,674095,6788,89539,0.9969407372485435,13.150423787934198
양천구,2775,47.42342342342342,460532,456339,4193,62761,0.9104687622141349,13.627934649492326
영등포구,2495,58.236472945891784,404766,371903,32863,59373,8.119011972349456,14.66847511895762
용산구,2063,10.761027629665536,246165,229579,16586,39439,6.737757195377085,16.02136778177239
은평구,2962,30.114787305874408,482509,478019,4490,82245,0.9305525907288775,17.045277911914596
종로구,1471,36.02991162474507,161984,151217,10767,28073,6.646952785460293,17.330724022125644
중구,1544,59.26165803108808,136469,126175,10294,23794,7.543105027515407,17.435461533388537
중랑구,1068,18.352059925093634,400678,395619,5059,66764,1.2626098762597397,16.66275662751636
