Index,Titles,Rating,Review
1,Parasite (Gisaengchung),97%,448
2,Avengers: Endgame,100%,525
3,Knives Out,90%,447
4,Us,100%,529
5,Toy Story 4,95%,439
6,The Irishman,86%,435
7,Little Women,97%,403
8,Booksmart,96%,355
9,The Farewell,100%,329
10,Marriage Story,100%,377
11,A Beautiful Day in the Neighborhood,89%,353
12,If Beale Street Could Talk,81%,346
13,Once Upon a Time In Hollywood, 99%,547
14,Spider-Man: Far From Home, 94%,438
15,Pain and Glory (Dolor y gloria), 97%,285
16,Shazam!, 93%,403
17,Ford v Ferrari, 97%,335
18,Dolemite Is My Name, 96%,224
19,Uncut Gems, 95%,329
20,The Lighthouse, 97%,371
21,Apollo 11, 98%,181
22,Rocketman, 94%,373
23,Amazing Grace, 95%,156
24,John Wick: Chapter 3 - Parabellum, 95%,343
25,Ash Is Purest White, 85%,151
26,They Shall Not Grow Old, 90%,148
27,The Peanut Butter Falcon, 96%,206
28,Honeyland, 90%,119
29,Honey Boy, 92%,225
30,One Cut of the Dead (Kamera o tomeru na!), 97%,86
31,Birds of Passage (Pájaros de verano), 92%,166
32,Knock Down the House, 90%,102
33,Maiden, 99%,116
34,For Sama, 89%,93
35,Atlantics, 99%,149
36,Fighting with My Family, 90%,233
37,Hustlers, 99%,335
38,One Child Nation, 99%,99
39,Captain Marvel, 96%,519
40,3 Faces, 100%,97
41,The Last Black Man in San Francisco, 94%,201
42,Woman at War (Kona fer í stríð), 100%,115
43,Chained for Life, 96%,51
44,How to Train Your Dragon: The Hidden World, 99%,261
45,First Love (Hatsukoi), 98%,113
46,Transit, 99%,176
47,Tigers Are Not Afraid (Vuelven), 96%,111
48,Stan & Ollie, 92%,216
49,The Chambermaid (La camarista), 87%,68
50,Midnight Traveler, 98%,46
51,Mickey and the Bear, 78%,45
52,Deadwood: The Movie, 98%,87
53,Varda by Agnès, 93%,86
54,Hail Satan?, 97%,127
55,Ready or Not, 100%,294
56,Toni Morrison: The Pieces I Am, 90%,99
57,Ad Astra, 97%,372
58,Midsommar, 94%,385
59,American Factory, 97%,87
60,The Mustang, 92%,129
61,Blinded by the Light, 99%,252
62,Wild Rose, 100%,187
63,The Heiresses (Las Herederas), 100%,79
64,63 Up, 98%,56
65,Homecoming: A Film by Beyoncé, 98%,55
66,Too Late to Die Young (Tarde para morir joven), 96%,55
67,By the Grace of God (Grâce à Dieu), 88%,94
68,Gloria Bell, 97%,198
69,Midnight Family, 84%,71
70,Dark Waters, 83%,217
71,Buñuel in the Labyrinth of the Turtles (Buñuel en el laberinto de las tortugas), 97%,47
72,Fiddler: A Miracle of Miracles, 95%,44
73,Working Woman, 89%,43
74,Making Waves: The Art of Cinematic Sound, 92%,64
75,Monos, 97%,148
76,The Cave, 98%,62
77,The Kingmaker, 98%,62
78,"Love, Antosha", 98%,59
79,Harpoon, 96%,58
80,I Lost My Body, 91%,79
81,Bad Education, 97%,138
82,Little Woods, 90%,95
83,Mike Wallace Is Here, 98%,91
84,Ray & Liz, 98%,69
85,The Two Popes, 98%,215
86,Be Natural: The Untold Story of Alice Guy-Blaché, 97%,86
87,The LEGO Movie 2: The Second Part, 93%,291
88,Clemency, 97%,143
89,Shadow, 97%,98
90,Rojo, 97%,53
91,Jojo Rabbit, 97%,408
92,An Elephant Sitting Still (Da xiang xi di er zuo), 96%,49
93,High Flying Bird, 93%,130
94,In Fabric, 95%,151
95,The Kid Who Would Be King, 95%,187
96,Citizen K, 96%,59
97,The Wild Pear Tree (Ahlat agaci), 89%,80
98,Luce, 95%,156
99,Judy, 85%,322
100,Sword of Trust, 92%,90
